Carácter	Error
`	2.472872
a	0.278244
b	0.689050
c	4.955317
d	2.982250
e	0.620692
f	0.237099
g	3.205701
h	0.070529
i	3.725367
j	0.380195
k	0.115301
l	0.649230
m	0.746781
n	0.527125
o	0.485515
p	8.273893
q	9.184498
r	1.054700
s	3.612809
t	7.313557
u	3.915500
v	5.290071
w	5.785877
x	7.270230
y	5.377373
z	6.099155
{	1.495972
|	3.685865
}	2.045531
~	3.058321
DEL	0.073818
