pokemon,pokeball,status_effect,noise,average_capture_rate,effectiveness,variance
onix,ultraball,SLEEP,0.0,0.23440000000000003,0.24,7.703719777548943e-34
onix,ultraball,FREEZE,0.0,0.23440000000000003,0.23,7.703719777548943e-34
onix,fastball,NONE,0.0,0.058600000000000006,0.07,4.81482486096809e-35
onix,fastball,POISON,0.0,0.08789999999999998,0.07,7.703719777548943e-34
onix,fastball,BURN,0.0,0.08789999999999998,0.05,7.703719777548943e-34
onix,fastball,PARALYSIS,0.0,0.08789999999999998,0.07,7.703719777548943e-34
onix,fastball,SLEEP,0.0,0.11720000000000001,0.16,1.925929944387236e-34
onix,fastball,FREEZE,0.0,0.11720000000000001,0.11,1.925929944387236e-34
onix,heavyball,NONE,0.0,0.0846,0.11,0.0
onix,heavyball,POISON,0.0,0.12700000000000003,0.12,7.703719777548943e-34
onix,heavyball,BURN,0.0,0.12700000000000003,0.08,7.703719777548943e-34
onix,heavyball,PARALYSIS,0.0,0.12700000000000003,0.16,7.703719777548943e-34
onix,heavyball,SLEEP,0.0,0.1693,0.15,0.0
onix,heavyball,FREEZE,0.0,0.1693,0.14,0.0
mewtwo,pokeball,NONE,0.0,0.0039000000000000007,0.02,7.52316384526264e-37
mewtwo,pokeball,POISON,0.0,0.005900000000000002,0.01,3.009265538105056e-36
mewtwo,pokeball,BURN,0.0,0.005900000000000002,0.01,3.009265538105056e-36
mewtwo,pokeball,PARALYSIS,0.0,0.005900000000000002,0.02,3.009265538105056e-36
mewtwo,pokeball,SLEEP,0.0,0.007800000000000001,0.01,3.009265538105056e-36
mewtwo,pokeball,FREEZE,0.0,0.007800000000000001,0.0,3.009265538105056e-36
mewtwo,ultraball,NONE,0.0,0.007800000000000001,0.02,3.009265538105056e-36
mewtwo,ultraball,POISON,0.0,0.011700000000000002,0.0,3.009265538105056e-36
mewtwo,ultraball,BURN,0.0,0.011700000000000002,0.01,3.009265538105056e-36
mewtwo,ultraball,PARALYSIS,0.0,0.011700000000000002,0.0,3.009265538105056e-36
