Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
1,0,68.9994,46.7150,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,1,71.1944,57.3861,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,2,77.0519,63.8840,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,3,78.5750,67.8486,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,4,79.2906,71.3143,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,5,80.5589,73.5607,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,6,81.9394,76.0298,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,7,83.4856,78.1235,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,8,85.1673,79.7265,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,9,85.2045,81.2086,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,10,85.2080,82.1775,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,11,85.2080,83.1216,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,12,85.2080,84.0000,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,13,85.2080,84.2186,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
1,14,85.2082,84.8920,Archer,88.3345,72.3869,28.7633,8.2175,2.2978,1.9329,200,85.2082
2,0,72.7357,44.9285,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,1,72.7357,57.2063,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,2,73.6705,64.3500,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,3,76.2652,68.5844,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,4,76.2652,71.1326,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,5,77.1168,72.3439,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,6,77.1168,73.9025,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,7,77.2476,74.9701,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,8,77.2476,75.6991,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,9,77.2476,76.2800,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
2,10,77.2991,76.7683,Archer,80.2704,62.7813,42.3387,9.8485,4.7611,1.9731,200,77.2991
3,0,64.9736,40.1351,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,1,67.6282,51.9764,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,2,74.4697,59.3542,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,3,75.4059,65.3154,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,4,77.1490,69.2710,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,5,77.1490,71.3702,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,6,77.7025,72.6335,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,7,79.1647,74.8989,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,8,79.1647,76.0499,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,9,79.1647,76.9971,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,10,79.7147,77.6750,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,11,80.4782,78.3095,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,12,80.4782,78.8932,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,13,80.7576,79.3654,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,14,81.3338,79.7818,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,15,82.0928,80.2449,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,16,82.0928,80.6051,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,17,82.0928,80.9569,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,18,82.3427,81.3933,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
3,19,82.3664,81.7524,Archer,81.9678,77.7033,24.7672,10.7984,4.7633,1.9291,200,82.3664
4,0,83.4718,46.6401,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,1,83.4751,68.0805,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,2,83.4751,76.6192,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,3,84.7720,80.5675,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,4,84.8584,82.5846,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,5,85.1508,83.5080,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,6,85.1508,83.9967,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,7,85.9385,84.2969,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,8,85.9385,84.6947,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
4,9,85.9385,85.1125,Archer,81.9699,77.3205,31.3452,5.3443,4.0201,1.9274,200,85.9385
5,0,73.2068,37.3741,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,1,76.1814,50.0545,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,2,76.1814,60.9452,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,3,76.2000,68.2293,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,4,76.3302,72.3321,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,5,76.3504,73.8515,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,6,77.2507,75.0911,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,7,77.2507,76.0098,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,8,77.3057,76.2297,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
5,9,77.3129,76.6592,Archer,82.5154,61.8407,33.2891,19.0220,3.3327,1.9109,200,77.3129
6,0,63.2328,38.9862,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,1,64.5791,48.7209,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,2,71.7592,56.5581,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,3,71.7592,61.6982,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,4,77.4773,65.8565,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,5,77.4773,68.4058,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,6,77.4773,72.2623,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,7,77.4773,74.4152,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,8,78.0511,75.5375,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,9,78.8136,76.7327,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,10,79.3571,77.1440,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,11,79.7265,77.5732,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,12,79.8108,78.2658,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,13,79.8108,78.7219,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,14,80.2260,79.1874,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,15,80.5920,79.4420,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,16,80.8048,79.7140,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,17,80.8048,79.9894,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
6,18,80.8048,80.2791,Archer,79.2863,79.0123,24.4031,10.0635,7.2349,1.8907,200,80.8048
7,0,75.4107,42.4667,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,1,75.4107,53.4127,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,2,75.4107,63.0390,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,3,75.4107,68.8433,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,4,75.4107,72.2863,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,5,75.4107,73.8346,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,6,78.2205,74.8017,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,7,79.9531,75.1555,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,8,79.9531,76.0692,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,9,79.9531,77.0229,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,10,80.2527,77.9534,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,11,80.7198,78.7264,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,12,81.5770,79.2601,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,13,81.7142,79.8363,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,14,82.1924,80.3909,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,15,82.6411,80.7415,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,16,82.6411,81.3702,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,17,82.6411,81.7137,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
7,18,82.6411,81.9288,Archer,82.9656,74.3330,30.0262,9.8027,2.8725,1.9513,200,82.6411
8,0,65.9069,41.5902,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,1,71.2511,54.7482,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,2,78.7892,61.9621,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,3,83.3936,65.8683,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,4,83.5048,72.6918,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,5,83.5048,77.3075,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,6,83.5048,79.9599,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,7,83.5048,81.4644,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,8,83.9106,82.8991,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
8,9,84.0138,83.2540,Archer,86.1447,87.1188,14.1042,12.4819,0.1504,1.9094,200,84.0138
9,0,77.4532,43.5925,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,1,79.9071,57.2811,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,2,80.7030,67.4666,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,3,80.7888,72.6938,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,4,83.5502,76.6043,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,5,83.8536,79.6274,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,6,84.1636,81.2238,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,7,85.6093,82.0147,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,8,85.6455,82.8854,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,9,85.6455,83.5762,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,10,85.7944,84.4307,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
9,11,85.7944,84.9943,Archer,83.2574,92.8804,15.9483,1.2213,6.6925,1.8914,200,85.7944
10,0,72.4482,47.3623,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,1,72.4482,57.0320,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,2,80.4667,65.2930,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,3,80.4667,69.0345,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,4,80.4667,73.3073,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,5,80.7581,76.2120,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,6,84.8996,77.9212,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,7,84.8996,79.4691,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,8,85.1095,80.3978,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,9,85.2257,81.8917,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,10,85.2257,83.2259,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,11,85.9041,83.9695,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,12,85.9078,84.5156,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,13,85.9078,85.0374,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
10,14,85.9136,85.5191,Archer,82.8314,75.8229,33.5390,3.7895,4.0172,1.8808,200,85.9136
11,0,74.6693,44.3023,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,1,75.8518,55.8900,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,2,75.8518,64.8921,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,3,75.8518,70.4851,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,4,78.9184,72.5911,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,5,79.6996,75.0613,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,6,79.6996,76.3938,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,7,80.1433,77.3337,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,8,80.4852,78.2123,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,9,82.3033,79.2261,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,10,82.3033,79.8064,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,11,82.3033,80.4138,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,12,82.3033,81.0911,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,13,82.3033,81.4228,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
11,14,82.3033,81.7172,Archer,82.3966,83.1285,19.1663,8.5857,6.7228,1.8953,200,82.3033
12,0,63.7771,43.7702,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,1,64.2251,53.5796,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,2,83.0337,59.5294,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,3,83.0375,65.0118,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,4,85.6199,72.1095,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,5,87.0953,78.1290,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,6,88.1659,82.1260,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,7,88.1705,84.4888,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,8,88.1705,85.9217,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,9,89.3666,86.5644,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,10,89.3717,87.2374,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,11,89.3856,87.9131,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,12,89.3879,88.4549,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
12,13,89.5261,88.7704,Archer,89.1434,88.4524,18.8322,3.1882,0.3838,1.9242,200,89.5261
13,0,62.7079,39.8989,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,1,62.7079,49.5792,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,2,65.7268,56.3607,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,3,71.7669,59.4032,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,4,82.6363,63.2003,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,5,82.6363,67.4909,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,6,83.9608,73.1919,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,7,83.9608,78.0206,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,8,83.9608,80.3658,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,9,84.8869,82.0242,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,10,85.3507,82.6711,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,11,85.7993,83.2147,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,12,85.7993,83.8485,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,13,85.9010,84.4328,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,14,86.1318,85.0045,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
13,15,86.1868,85.3963,Archer,83.8898,61.3458,49.0000,1.9491,3.8153,1.9157,200,86.1868
