,Mean,Median,Standard Deviation
Best Fitness,68.45983000000003,67.5895,12.463386588771042
Average Fitness,67.938345,67.10740000000001,12.392690844987918
Strength,69.99358,80.4889,28.875100962203987
Agility,62.06007000000001,69.4357,27.69112225560463
Expertise,31.472684999999995,32.0616,14.097530783392903
Endurance,18.338230000000003,9.23675,27.874128806477618
Health,18.135460000000002,6.31985,29.35857659971739
Height,1.81876,1.8991,0.2190589307878013
Performance,68.45983000000003,67.5895,12.463386588771042
