Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
1,0,63.8916,39.9759,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,1,64.0114,49.6699,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,2,64.0114,56.7211,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,3,64.1794,60.6605,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,4,73.5835,62.5303,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,5,73.5835,63.6095,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,6,74.6209,65.7606,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,7,74.6209,69.2916,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,8,74.8743,71.6322,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,9,74.8743,73.2528,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,10,75.0098,73.9736,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
1,11,75.0098,74.4598,Mage,82.1666,84.2059,31.5574,1.4038,0.6663,1.8279,200,75.0098
2,0,50.7807,33.5872,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,1,56.3377,42.1781,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,2,67.3033,47.7580,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,3,67.3033,53.9930,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,4,67.9977,59.1376,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,5,72.1771,63.7968,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,6,72.1771,66.4957,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,7,72.3040,68.8279,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,8,76.3025,70.5622,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,9,76.8679,71.6106,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,10,78.0908,73.0841,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,11,78.0908,74.8215,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,12,78.0908,76.2357,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,13,78.7351,77.1333,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,14,78.7351,77.6424,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
2,15,78.7400,77.9637,Guardian,8.3621,3.0604,34.5394,66.2033,87.8349,1.3016,200,78.7400
