Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
2,7,57.0919,55.8243,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
2,8,57.1575,56.3682,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
2,9,58.0445,56.6926,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
2,10,58.0445,56.8985,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
2,11,58.0445,57.1720,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
2,12,58.0445,57.4678,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
2,13,58.0445,57.7258,Warrior,86.7419,67.2867,38.1063,2.5184,5.3467,1.9124,200,58.0445
3,0,48.4512,31.5664,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,1,49.9839,35.9947,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,2,51.1604,41.0028,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,3,51.1604,45.8893,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,4,52.5348,47.8255,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,5,54.2708,49.8275,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,6,54.7000,51.5588,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,7,54.7000,52.4933,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,8,54.7000,53.2230,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,9,54.7054,53.7247,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,10,54.7926,54.1824,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
3,11,54.7926,54.2609,Warrior,77.3424,80.7430,27.3332,4.8487,9.7327,1.8774,200,54.7926
4,0,47.0282,33.9098,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,1,51.1447,39.1732,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,2,51.1447,43.4617,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,3,51.5938,46.3720,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,4,52.0068,48.8066,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,5,52.0068,50.3321,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,6,52.0068,50.8948,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,7,52.0068,51.2924,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
4,8,52.0068,51.5241,Warrior,77.8340,66.9495,33.5061,20.7414,0.9689,1.9124,200,52.0068
5,0,50.1912,32.3000,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
5,1,50.1912,38.4143,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
5,2,50.7873,43.8086,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
5,3,50.7873,47.2297,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
5,4,50.7873,48.8011,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
5,5,50.7873,49.8674,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
5,6,50.7873,50.4260,Warrior,75.2171,78.1643,40.4209,4.6052,1.5925,1.7836,200,50.7873
6,0,43.3157,29.9015,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,1,43.3157,34.6849,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,2,45.8981,39.3653,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,3,46.1094,40.9428,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,4,46.1094,43.1403,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,5,51.3577,44.3186,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,6,51.3577,45.4661,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,7,51.3577,47.2188,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
