Época	Pérdida
1	0.690710
2	0.681691
3	0.669455
4	0.655469
5	0.642241
6	0.631684
7	0.622239
8	0.610920
9	0.599413
10	0.590112
11	0.583223
12	0.577283
13	0.572789
14	0.570119
15	0.568070
16	0.566260
17	0.564288
18	0.561863
19	0.559449
20	0.557458
21	0.555862
22	0.554493
23	0.553088
24	0.551564
25	0.549873
26	0.547938
27	0.545949
28	0.544057
29	0.542213
30	0.540407
31	0.538402
32	0.536292
33	0.534108
34	0.531722
35	0.529218
36	0.526853
37	0.524420
38	0.521726
39	0.518685
40	0.515602
41	0.512404
42	0.508246
43	0.504320
44	0.500198
45	0.495972
46	0.491406
47	0.486456
48	0.481502
49	0.476546
50	0.471583
51	0.466215
52	0.461257
53	0.456435
54	0.452012
55	0.447330
56	0.443179
57	0.438667
58	0.434231
59	0.431236
60	0.427453
61	0.424811
62	0.420034
63	0.418042
64	0.413489
65	0.409270
66	0.405626
67	0.401471
68	0.397196
69	0.394812
70	0.391598
71	0.386520
72	0.384538
73	0.381143
74	0.376529
75	0.375586
76	0.370749
77	0.367566
78	0.364609
79	0.360897
80	0.359023
81	0.355463
82	0.352084
83	0.350182
84	0.346574
85	0.343330
86	0.340766
87	0.338046
88	0.335905
89	0.338146
90	0.343321
91	0.330952
92	0.332686
93	0.329625
94	0.324523
95	0.327055
96	0.320472
97	0.321211
98	0.316710
99	0.315482
100	0.312945
101	0.311353
102	0.308524
103	0.306873
104	0.305816
105	0.303967
106	0.301724
107	0.299810
108	0.298227
109	0.296083
110	0.294729
111	0.292435
112	0.291431
113	0.289099
114	0.287469
115	0.285882
116	0.284288
117	0.282630
118	0.281440
119	0.279034
120	0.277513
121	0.276539
122	0.274075
123	0.272753
124	0.270997
125	0.269118
126	0.267487
127	0.266425
128	0.264937
129	0.262797
130	0.261625
131	0.260056
132	0.257982
133	0.256754
134	0.255221
135	0.253976
136	0.252681
137	0.251569
138	0.250051
139	0.249037
140	0.247689
141	0.246176
142	0.244842
143	0.243693
144	0.243742
145	0.242532
146	0.241828
147	0.239116
148	0.237660
149	0.237035
150	0.236742
151	0.237491
152	0.236959
153	0.232922
154	0.231283
155	0.233497
156	0.230103
157	0.226972
158	0.226725
159	0.226402
160	0.224509
161	0.222599
162	0.221772
163	0.222224
164	0.220806
165	0.218433
166	0.217796
167	0.217127
168	0.216221
169	0.214650
170	0.213555
171	0.213078
172	0.211932
173	0.211269
174	0.210448
175	0.209478
176	0.208791
177	0.207951
178	0.207128
179	0.206176
180	0.206649
181	0.205695
182	0.206084
183	0.207577
184	0.204952
185	0.202245
186	0.203391
187	0.203911
188	0.202329
189	0.199779
190	0.199438
