Dimensión 1,Dimensión 2,Etiqueta
83.38779094911287,44.91765505427608,`
-0.002903433275175782,3.4701476792833557,a
26.869652285281134,60.58504618355052,b
8.195227233824285,17.979210660328043,c
3.4648393446935235,-3.417194550947629,d
63.77558453360415,222.56395701041745,e
86.34906354857719,18.063955518505384,f
54.82280731233013,4.86855280502676,g
22.34557428815653,51.78691224125277,h
103.25316765917103,64.20971420900632,i
24.437923623470773,14.965682052146086,j
101.6498070267785,163.0973554121895,k
135.6476255125193,59.205597216191336,l
74.12165947095399,185.7256369896323,m
132.36060626878788,328.740062938933,n
5.096100360208598,150.78288473696261,o
97.3960643639193,122.6729854912076,p
5.928590502258893,0.6501847794042863,q
145.52729338614395,338.4508272228686,r
14.60962299635338,11.395546817585677,s
30.300162278610646,5.342232809390155,t
-5.603375657799656,95.41382772836752,u
-4.463909273559783,17.536481942008443,v
7.644958835245665,122.69255487517208,w
17.3007394864493,24.91366938068628,x
-0.6380394902355739,9.339748688099451,y
17.536266571595842,21.098580232454488,z
77.3179700781114,19.887422307277,{
136.8291889570684,68.33406571689895,|
25.25625902833033,12.58463996823775,}
41.389365666080494,18.630862052137104,~
90.94564282470603,-0.009207762644458356,DEL
