Carácter	Error
`	0.005219
a	0.102156
b	1.793944
c	0.568718
d	0.003083
e	0.560967
f	0.001351
g	0.001466
h	2.854915
i	0.006824
j	0.020624
k	0.011679
l	0.000022
m	0.161596
n	0.154016
o	0.173444
p	0.007045
q	0.019638
r	0.109602
s	0.075409
t	0.001130
u	0.093260
v	1.016040
w	0.675200
x	0.107553
y	0.306062
z	0.100046
{	0.003073
|	0.001334
}	0.001108
~	0.002298
DEL	0.000464
