Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height
1,0,45.7180,31.5901,Warrior,62.5584,69.2163,31.7874,10.8218,25.6161,1.8621,200,58.4724,416.3011,432.9478,407.2957,393.6131,385.5686,0.0481
1,1,48.3823,37.2370,Warrior,60.5767,64.2028,62.5821,12.5951,0.0433,1.8621,200,58.4724,205.8590,361.8736,285.0016,143.4110,240.5535,0.0509
1,2,51.2988,41.5786,Warrior,69.2913,76.6657,35.2086,11.9865,6.8479,1.8621,200,58.4724,205.4867,303.8776,241.9844,74.9838,137.3206,0.0563
1,3,56.0899,45.5728,Warrior,96.2244,82.6029,9.7339,11.3685,0.0703,1.9063,200,58.4724,219.0336,233.5320,266.9214,42.8138,69.2582,0.0436
1,4,56.0899,48.4828,Warrior,96.2244,82.6029,9.7339,11.3685,0.0703,1.9063,200,58.4724,203.0987,140.9113,288.5262,26.9326,36.5857,0.0317
1,5,56.0899,51.6297,Warrior,96.2244,82.6029,9.7339,11.3685,0.0703,1.9063,200,58.4724,97.6181,112.4238,224.7930,24.4302,26.0615,0.0032
1,6,57.1051,53.4519,Warrior,83.1213,65.7822,43.0712,7.9520,0.0733,1.9063,200,58.4724,95.4724,67.5514,213.0216,15.2989,18.9144,0.0004
1,7,57.6802,55.0071,Warrior,87.7144,76.9312,26.2831,8.9884,0.0829,1.9063,200,58.4724,78.5658,60.6109,175.3966,6.7450,8.3608,0.0003
1,8,57.9198,55.7927,Warrior,89.8583,77.1380,24.5442,8.3937,0.0657,1.9063,200,58.4724,51.4411,52.0368,130.0527,3.7269,4.0769,0.0001
1,9,57.9198,56.5103,Warrior,89.8583,77.1380,24.5442,8.3937,0.0657,1.9063,200,58.4724,35.3834,32.3984,103.7248,1.7389,0.7523,0.0000
1,10,57.9198,56.9677,Warrior,89.8583,77.1380,24.5442,8.3937,0.0657,1.9063,200,58.4724,24.5875,19.6441,60.4055,1.7404,0.0002,0.0000
1,11,58.4738,57.3326,Warrior,89.1608,78.6519,25.0259,7.0961,0.0653,1.9063,200,58.4724,12.0174,17.2698,42.3844,1.2680,0.0001,0.0000
1,12,58.4748,57.7321,Warrior,89.1622,78.6531,25.0263,7.0962,0.0622,1.9063,200,58.4724,2.7516,15.6567,21.8421,0.6745,0.0001,0.0000
1,13,58.4724,57.9140,Warrior,89.1590,78.6503,25.0254,7.0959,0.0694,1.9063,200,58.4724,1.7220,8.4929,10.8897,0.4651,0.0001,0.0000
2,0,53.4549,32.1433,Warrior,95.8730,81.8107,13.0323,4.7168,4.5672,1.9814,200,57.8084,415.5315,378.4785,330.4100,331.0271,273.9615,0.0361
2,1,53.5956,37.9898,Warrior,96.0811,81.9883,13.0606,4.2928,4.5771,1.9814,200,57.8084,253.8961,479.2555,387.6515,204.7649,230.1715,0.0378
2,2,54.3146,42.1598,Warrior,86.1089,72.0750,33.8751,3.8389,4.1020,1.9814,200,57.8084,170.6626,451.7902,286.5525,135.3572,131.3013,0.0363
2,3,54.3146,46.1996,Warrior,86.1089,72.0750,33.8751,3.8389,4.1020,1.9814,200,57.8084,120.7063,217.3496,154.6647,52.4233,72.6513,0.0342
