Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height
1,0,43.1492,29.4289,Warrior,78.5701,41.8919,36.9583,0.1917,42.3879,1.9433,200,51.8077,414.2504,315.2187,432.9181,371.1493,499.5027,0.0521
1,1,43.1492,33.7841,Warrior,78.5701,41.8919,36.9583,0.1917,42.3879,1.9433,200,51.8077,318.0504,277.2033,251.5337,339.0659,315.3002,0.0656
1,2,51.7575,37.9516,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,224.2170,177.6424,126.4743,285.7057,157.9868,0.0622
1,3,51.7575,41.2088,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,124.3320,131.3130,92.8342,179.3043,109.8086,0.0409
1,4,51.7575,43.6039,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,68.0466,90.8403,65.5592,49.9021,79.6813,0.0334
1,5,51.7575,44.5978,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,64.8671,36.5957,42.3194,36.5765,64.1567,0.0160
1,6,51.7575,46.3255,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,67.7137,25.2456,26.1116,12.8041,85.0945,0.0034
1,7,51.7575,48.6352,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,57.4263,24.8011,17.6381,2.9198,77.5791,0.0033
1,8,51.7575,50.1174,Warrior,87.2707,49.6466,43.7997,0.2272,19.0558,1.9433,200,51.8077,42.7287,12.4838,9.5491,1.6559,46.3936,0.0033
1,9,51.7576,50.9550,Warrior,87.3729,49.7047,43.6144,0.2298,19.0781,1.9433,200,51.8077,18.3786,7.6107,5.4804,1.5915,23.0535,0.0033
1,10,51.8077,51.3976,Warrior,85.9653,50.5034,43.8575,0.2311,19.4427,1.9433,200,51.8077,4.6289,3.8413,3.3101,1.5219,7.6916,0.0033
2,0,46.1449,28.6811,Warrior,74.2817,36.4351,81.3289,4.2448,3.7095,1.8315,200,54.4522,324.3982,340.4527,559.7504,393.7082,495.8008,0.0273
2,1,47.9236,32.2280,Warrior,90.1616,62.1733,37.6873,5.3247,4.6532,1.5039,200,54.4522,227.8027,280.2585,542.6538,309.4732,505.8252,0.0199
2,2,48.9368,36.6497,Warrior,73.8129,61.7119,45.0304,15.7588,3.6861,1.8315,200,54.4522,232.8733,192.7340,448.2494,133.0102,406.1763,0.0242
2,3,49.7894,39.9377,Warrior,83.1710,57.3527,41.5391,14.5369,3.4003,1.8315,200,54.4522,206.4726,157.0420,426.8244,105.9444,226.7074,0.0259
2,4,52.8531,43.7992,Warrior,82.0858,56.6044,54.0488,3.9052,3.3559,1.8315,200,54.4522,202.4898,125.6541,301.3037,73.8116,102.9498,0.0278
2,5,52.8531,45.9457,Warrior,82.0858,56.6044,54.0488,3.9052,3.3559,1.8315,200,54.4522,157.9970,84.9619,209.0403,48.1096,56.9510,0.0283
2,6,53.3831,48.0572,Warrior,87.9862,60.6732,42.2728,5.4706,3.5971,1.8315,200,54.4522,72.6983,40.8636,96.0100,32.0687,20.2060,0.0273
2,7,53.2952,49.3324,Warrior,88.3327,60.9121,41.3076,5.8362,3.6113,1.8315,200,54.4522,45.1485,28.0755,60.9386,29.2111,0.7874,0.0206
