Dimensión 1,Dimensión 2,Etiqueta
3.2035694175152236,-2.6377388544234712,`
-2.2328262331824575,-3.5355142754406947,a
-1.5078437853740991,3.8708747805025925,b
3.2663779039526855,1.489165424588029,c
-0.59969213759248,-4.5333569944477565,d
1.3559649516394974,3.957890103412429,e
1.819119877281993,-4.201457998552088,f
0.15829216196497287,-4.27286793069027,g
-4.4696393158611,1.0642514982486797,h
3.825229643961081,-0.16413256663792516,i
3.0169344503250324,2.493031669104475,j
-2.50623584814107,3.362157040796781,k
3.7390402807744185,-2.318376315006838,l
-3.56226665346071,2.6934930499436183,m
-3.2160140737829357,3.4125877160435474,n
0.8115175174728175,4.192260667978538,o
-4.6239077503939745,0.12672945976178696,p
-2.6139361787878177,-3.2330666864759063,q
-2.9956374372552856,3.588622939966035,r
2.01028399955887,3.436448994408776,s
0.7399246541055149,-4.392091417209132,t
-3.832004254449962,1.771137966873746,u
-3.761972789923812,-1.5468926929408537,v
0.3505879104857845,3.9746038096380256,w
-4.1454562993545965,-0.9248272970310363,x
-2.6664175532111103,-1.7617151998622993,y
3.367731888969609,0.8889030374718535,z
1.489498250310317,-4.322050057527489,{
3.4825103117238556,-2.5866569742408214,|
3.9474618227508196,-0.9812905484640861,}
2.708598729731869,-3.2473523327142133,~
-1.7025652236383795,-4.072426616362569,DEL
