Carácter	Error
`	0.019774
a	0.017120
b	0.025412
c	0.039580
d	0.032250
e	0.014203
f	0.029172
g	0.034322
h	0.008279
i	0.062482
j	0.018985
k	0.045466
l	0.013518
m	0.018955
n	0.024053
o	0.011236
p	0.005723
q	0.012375
r	0.027573
s	0.010469
t	0.026473
u	0.008705
v	0.011403
w	0.010391
x	0.007447
y	0.011755
z	0.055163
{	0.028607
|	0.021909
}	0.025827
~	0.015850
DEL	0.023152
