pokemon,pokeball,status_effect,noise,capture_success,capture_rate
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,True,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
jolteon,pokeball,NONE,0.0,False,0.0586
