Carácter	Error
`	4.153188
a	6.355803
b	4.539008
c	7.104765
d	1.749817
e	7.690489
f	3.223794
g	8.033948
h	0.433879
i	2.367599
j	1.958498
k	2.345582
l	1.871270
m	2.309051
n	0.991245
o	0.786232
p	6.695195
q	0.389272
r	2.093071
s	8.270841
t	3.051570
u	0.926638
v	7.889753
w	2.024304
x	9.966997
y	6.481072
z	4.467693
{	3.301670
|	5.801104
}	5.112616
~	8.802703
DEL	0.913924
