Dimensión 1,Dimensión 2,Etiqueta
-2.2152053034556016,6.077583834966773,`
-0.8978219561511104,-1.3174924453900774,a
-1.6876662046005972,5.170136834106559,b
-1.9663911054846825,5.581116725902841,c
-0.8033253897001075,0.4145592217185927,d
-2.224543468963042,5.406680675518838,e
-21.480302886653387,98.68922656578894,f
-0.6153262409735696,-2.6762120107595018,g
-0.7331499152039925,1.791652572136755,h
-3.0636190665806007,11.658786444634895,i
-3.815982483354296,17.48517492607636,j
-1.3574904121836002,4.486757514597771,k
-2.815171756964797,9.125076768450546,l
-1.5590726381693618,2.32295517450893,m
-1.9807197507016587,2.5611671645945377,n
-2.067572128076286,1.4212136830518574,o
-2.767216435497879,6.67507861301243,p
-0.9920144743807439,-0.009140426324587114,q
-2.7760395615742333,6.235899650181348,r
-4.251712262973263,18.11495230202631,s
-42.46188028783252,214.7996099988487,t
-1.578177598405419,1.2679027324320051,u
-2.1156697221757645,5.553741773626156,v
-0.9645268996897349,0.4984398689768954,w
-1.8911103900417738,5.629458356580308,x
-0.6552689936735896,-1.1928069364982605,y
-3.1776399602163568,7.872051971538619,z
-23.02035172354801,111.46653496336324,{
-1.9719442120821986,5.746966769187965,|
-4.889363433038287,21.662558783476808,}
-1.7915276641416105,5.4634042566213665,~
-2.659888071925068,-0.8722755229417836,DEL
