Época	Pérdida
1	1.025376
2	0.796790
3	0.701346
4	0.676555
5	0.676879
6	0.678039
7	0.675866
8	0.671695
9	0.666732
10	0.660683
11	0.653961
12	0.646463
13	0.638183
14	0.629956
15	0.622095
16	0.614568
17	0.607539
18	0.600995
19	0.595224
20	0.590434
21	0.586547
22	0.583277
23	0.580703
24	0.580341
25	0.579495
26	0.576136
27	0.571644
28	0.569113
29	0.566423
30	0.565184
31	0.564604
32	0.563775
33	0.562957
34	0.561084
35	0.558437
36	0.555323
37	0.551170
38	0.546381
39	0.541493
40	0.537119
41	0.532929
42	0.529193
43	0.525053
44	0.520666
45	0.516335
46	0.512842
47	0.508876
48	0.503966
49	0.498825
50	0.494437
51	0.490252
52	0.486723
53	0.484148
54	0.481741
55	0.478117
56	0.473699
57	0.470710
58	0.468663
59	0.465725
60	0.463933
61	0.463178
62	0.461457
63	0.458659
64	0.456583
65	0.455091
66	0.453083
67	0.450644
68	0.448992
69	0.447783
70	0.446401
71	0.444992
72	0.443570
73	0.442117
74	0.440884
75	0.439478
76	0.437915
77	0.436467
78	0.435006
79	0.433676
80	0.432704
81	0.431761
82	0.430631
83	0.429793
84	0.428781
85	0.427824
86	0.426781
87	0.426016
88	0.425480
89	0.424827
90	0.421365
91	0.418862
92	0.416987
93	0.415434
94	0.414220
95	0.412244
96	0.411248
97	0.410785
98	0.409360
99	0.408152
100	0.406853
101	0.405833
102	0.404374
103	0.402818
104	0.402039
105	0.400335
106	0.398828
107	0.398083
108	0.396288
109	0.394864
110	0.393575
111	0.391618
112	0.390231
113	0.388683
114	0.387921
115	0.387273
116	0.385225
117	0.386014
118	0.385039
119	0.384882
120	0.381925
121	0.380737
122	0.380722
123	0.381139
124	0.374131
125	0.371467
126	0.370470
127	0.368560
128	0.366884
129	0.365636
130	0.364751
131	0.364454
132	0.364128
133	0.364212
134	0.363756
135	0.363769
136	0.363997
137	0.364280
138	0.361937
139	0.361046
140	0.360752
141	0.359681
142	0.358321
143	0.356576
144	0.355217
145	0.353221
146	0.351916
147	0.349983
148	0.347578
149	0.345965
150	0.344427
151	0.343127
152	0.341235
153	0.341185
154	0.338132
155	0.335327
156	0.333867
157	0.334227
