Carácter	Error
`	0.019667
a	0.061601
b	2.088479
c	1.564028
d	0.011898
e	0.090728
f	2.040439
g	0.000074
h	3.076224
i	1.974315
j	0.810132
k	0.415091
l	2.288546
m	2.519608
n	0.618809
o	0.008277
p	0.234347
q	0.015979
r	1.138602
s	0.073856
t	0.019069
u	0.817495
v	0.378051
w	0.593441
x	0.002377
y	0.003894
z	5.003565
{	0.399699
|	0.720038
}	2.000000
~	3.086804
DEL	0.077649
