Dimensión 1,Dimensión 2,Etiqueta
2.551174230462361,2.4475807350326466,`
-1.4617419518503338,0.07568599917679517,a
0.8331996290387705,2.0492937369745747,b
1.565391601785714,2.224219369824197,c
-0.06973671053404759,-1.6290252218558692,d
-0.415196823672054,1.5298668947590006,e
1.3375193490416675,-2.7003674587465705,f
1.6451271289363552,-0.922820566763732,g
-1.762396757668151,2.122823430268307,h
1.9297947195979799,-0.5938056272512171,i
1.0386801131193237,1.1318460982762177,j
-0.9917164590477959,2.5391043271542895,k
2.844504863006276,0.6310035535239069,l
-1.453152929774695,2.8066742317169004,m
-1.1559381026292574,3.1835404035759587,n
-0.4236757781116267,2.6820433533798136,o
0.7853757917656379,2.8149195293861,p
-1.0046941256589002,-0.6915216866750914,q
-0.3019793192533047,3.6594289897929357,r
-0.21471761550394233,1.1705706790825527,s
0.825663499607659,-1.078255245285614,t
-1.3681340171431124,0.5689765736094902,u
-1.3034968025651001,0.8639147243485251,v
-1.3780943606446987,1.4944768494662852,w
-0.2257110821760451,-0.0953609520780542,x
0.2430767256904517,-1.2844124652448126,y
0.5043477509167461,1.846461633127674,z
1.5614078989256095,-2.217231791425753,{
2.5079670778152128,1.5113893933499258,|
2.207628070092362,1.62679382892214,}
2.4907389745366015,1.9912165755548576,~
-1.5100732636208718,-1.7917862550776351,DEL
