Carácter	Error
`	0.195312
a	0.051915
b	0.276291
c	0.332358
d	0.076386
e	0.143610
f	0.179182
g	0.148228
h	0.179835
i	0.105457
j	0.145470
k	5.600854
l	0.413624
m	0.616850
n	5.538609
o	0.270881
p	0.034350
q	0.061502
r	0.141043
s	0.145738
t	0.061105
u	0.038149
v	0.105937
w	0.170182
x	0.054030
y	0.128691
z	0.117779
{	0.074450
|	0.703532
}	0.521143
~	0.461268
DEL	0.021282
