Carácter	Error
`	2.000849
a	15.185189
b	14.111116
c	12.370376
d	15.000006
e	13.518507
f	15.814831
g	15.481493
h	14.185189
i	13.925928
j	14.407401
k	14.518522
l	0.000121
m	13.111112
n	12.740730
o	12.296287
p	14.814805
q	15.777768
r	12.629621
s	13.962954
t	14.777778
u	12.296285
v	12.851844
w	12.814800
x	14.481471
y	13.407411
z	14.259248
{	14.925927
|	0.000335
}	0.000000
~	2.000577
DEL	22.407412
