pokemon,pokeball,status_effect,health_points,noise,capture_success,capture_rate
caterpie,pokeball,NONE,80,0.0,True,0.50372754634157
caterpie,pokeball,NONE,79,0.0,True,0.5676309611312427
caterpie,pokeball,NONE,79,0.0,True,0.5263636286392525
caterpie,pokeball,NONE,79,0.0,True,0.3816688471579814
caterpie,pokeball,NONE,79,0.0,False,0.5532356961181948
caterpie,pokeball,NONE,79,0.0,True,0.4387310112468498
caterpie,pokeball,NONE,79,0.0,False,0.5915374676401068
caterpie,pokeball,NONE,79,0.0,False,0.5031314042042746
caterpie,pokeball,NONE,79,0.0,True,0.5325653636237833
caterpie,pokeball,NONE,79,0.0,True,0.5713201984104511
caterpie,pokeball,NONE,79,0.0,True,0.4711881980204537
caterpie,pokeball,NONE,78,0.0,True,0.40809347313611244
caterpie,pokeball,NONE,78,0.0,False,0.5978367448635922
caterpie,pokeball,NONE,78,0.0,True,0.4523023373361791
caterpie,pokeball,NONE,78,0.0,False,0.5254729357802301
caterpie,pokeball,NONE,78,0.0,True,0.582007238169956
caterpie,pokeball,NONE,78,0.0,False,0.5721289102589624
caterpie,pokeball,NONE,78,0.0,True,0.44656456851674303
caterpie,pokeball,NONE,78,0.0,False,0.43573737467315926
caterpie,pokeball,NONE,78,0.0,False,0.47968309575183343
caterpie,pokeball,NONE,78,0.0,False,0.4394819159793317
caterpie,pokeball,NONE,77,0.0,False,0.5345421966644467
caterpie,pokeball,NONE,77,0.0,True,0.47795438704117965
caterpie,pokeball,NONE,77,0.0,True,0.5806788893520688
caterpie,pokeball,NONE,77,0.0,False,0.4570986148360508
caterpie,pokeball,NONE,77,0.0,False,0.4826100264134424
caterpie,pokeball,NONE,77,0.0,True,0.4794682910118757
caterpie,pokeball,NONE,77,0.0,False,0.4459526674812003
caterpie,pokeball,NONE,77,0.0,False,0.5230075399388628
caterpie,pokeball,NONE,77,0.0,True,0.6064679110101412
caterpie,pokeball,NONE,77,0.0,True,0.6464551068079045
caterpie,pokeball,NONE,76,0.0,False,0.4369383618527357
caterpie,pokeball,NONE,76,0.0,True,0.4496728285429176
caterpie,pokeball,NONE,76,0.0,False,0.47652066099513146
caterpie,pokeball,NONE,76,0.0,False,0.49037978177050245
caterpie,pokeball,NONE,76,0.0,True,0.5268044578717369
caterpie,pokeball,NONE,76,0.0,True,0.40232895726203033
caterpie,pokeball,NONE,76,0.0,False,0.47621345885195093
caterpie,pokeball,NONE,76,0.0,False,0.5102291902693507
caterpie,pokeball,NONE,76,0.0,True,0.552875418654487
