pokemon,pokeball,status_effect,health_points,noise,average_capture_rate,effectiveness,variance
jolteon,pokeball,NONE,100,0.0,0.0586,0.1,0.0
jolteon,pokeball,NONE,99,0.0,0.059649999999999995,0.2,1.1024999999999977e-06
jolteon,pokeball,NONE,98,0.0,0.06036666666666668,0.2,1.7622222222222227e-06
jolteon,pokeball,NONE,97,0.0,0.060975,0.3,2.431874999999997e-06
jolteon,pokeball,NONE,96,0.0,0.06155999999999999,0.3,3.3143999999999983e-06
jolteon,pokeball,NONE,95,0.0,0.06211666666666668,0.5,4.311388888888888e-06
jolteon,pokeball,NONE,94,0.0,0.06267142857142856,0.6,5.542040816326536e-06
jolteon,pokeball,NONE,93,0.0,0.063225,0.8,6.994375000000011e-06
jolteon,pokeball,NONE,92,0.0,0.06376666666666668,0.8,8.564444444444448e-06
jolteon,pokeball,NONE,91,0.0,0.06431000000000003,0.8,1.0364900000000001e-05
jolteon,pokeball,NONE,90,0.0,0.06494545454545454,1.0,1.34606611570248e-05
jolteon,pokeball,NONE,89,0.0,0.06555833333333334,1.1,1.6470763888888898e-05
jolteon,pokeball,NONE,88,0.0,0.06616153846153847,1.2,1.9570059171597646e-05
jolteon,pokeball,NONE,87,0.0,0.06674999999999999,1.2,2.267392857142858e-05
jolteon,pokeball,NONE,86,0.0,0.06733333333333333,1.2,2.592622222222223e-05
jolteon,pokeball,NONE,85,0.0,0.0679125,1.2,2.933734375000001e-05
jolteon,pokeball,NONE,84,0.0,0.0684823529411765,1.3,3.280733564013842e-05
jolteon,pokeball,NONE,83,0.0,0.06905000000000001,1.3,3.646250000000002e-05
jolteon,pokeball,NONE,82,0.0,0.06961052631578947,1.4,4.019883656509696e-05
jolteon,pokeball,NONE,81,0.0,0.07022,1.4,4.524660000000001e-05
jolteon,pokeball,NONE,80,0.0,0.07082380952380952,1.5,5.038371882086168e-05
jolteon,pokeball,NONE,79,0.0,0.07141818181818181,1.5,5.551239669421487e-05
jolteon,pokeball,NONE,78,0.0,0.07200869565217394,1.5,6.077035916824197e-05
jolteon,pokeball,NONE,77,0.0,0.07259583333333335,1.5,6.616706597222224e-05
jolteon,pokeball,NONE,76,0.0,0.073176,1.5,7.1598624e-05
jolteon,pokeball,NONE,75,0.0,0.07375384615384614,1.5,7.719248520710059e-05
jolteon,pokeball,NONE,74,0.0,0.07432592592592592,1.6,8.284266117969824e-05
jolteon,pokeball,NONE,73,0.0,0.07489642857142857,1.6,8.867177295918368e-05
jolteon,pokeball,NONE,72,0.0,0.0755,1.6,9.581448275862069e-05
jolteon,pokeball,NONE,71,0.0,0.07609666666666667,1.6,0.0001029449888888889
jolteon,pokeball,NONE,70,0.0,0.07669032258064516,1.6,0.00011019700312174816
jolteon,pokeball,NONE,69,0.0,0.07728125,1.8,0.0001175783984375
jolteon,pokeball,NONE,68,0.0,0.07786666666666667,1.8,0.00012498222222222225
jolteon,pokeball,NONE,67,0.0,0.07844999999999999,1.9,0.0001325354411764706
jolteon,pokeball,NONE,66,0.0,0.0790285714285714,2.0,0.0001401300408163265
jolteon,pokeball,NONE,65,0.0,0.07960555555555555,2.0,0.0001478894135802469
jolteon,pokeball,NONE,64,0.0,0.08017837837837838,2.1,0.00015570493791088386
jolteon,pokeball,NONE,63,0.0,0.08077631578947368,2.2,0.0001648360180055402
jolteon,pokeball,NONE,62,0.0,0.08137179487179486,2.2,0.00017408407626561475
jolteon,pokeball,NONE,61,0.0,0.08196500000000001,2.2,0.000183455775
jolteon,pokeball,NONE,60,0.0,0.08255365853658538,2.6,0.00019284199881023197
jolteon,pokeball,NONE,59,0.0,0.0831404761904762,2.6,0.0002023690759637188
jolteon,pokeball,NONE,58,0.0,0.0837232558139535,2.7,0.00021192736614386161
jolteon,pokeball,NONE,57,0.0,0.08430454545454545,2.9,0.00022164043388429752
jolteon,pokeball,NONE,56,0.0,0.08488222222222223,2.9,0.00023139835061728394
jolteon,pokeball,NONE,55,0.0,0.08545869565217391,3.2,0.00024132242438563328
jolteon,pokeball,NONE,54,0.0,0.08605531914893616,3.3,0.0002525620461747397
jolteon,pokeball,NONE,53,0.0,0.08664999999999999,3.4,0.0002639216666666666
jolteon,pokeball,NONE,52,0.0,0.08724081632653062,3.6,0.00027529057892544776
jolteon,pokeball,NONE,51,0.0,0.08782999999999999,3.6,0.00028679449999999995
jolteon,pokeball,NONE,50,0.0,0.0884156862745098,3.9,0.00029832249903883126
jolteon,pokeball,NONE,49,0.0,0.089,4.0,0.0003099980769230769
jolteon,pokeball,NONE,48,0.0,0.0895811320754717,4.0,0.00032171021003915985
jolteon,pokeball,NONE,47,0.0,0.09016111111111112,4.3,0.00033358052469135806
jolteon,pokeball,NONE,46,0.0,0.09073999999999999,4.4,0.00034561149090909084
jolteon,pokeball,NONE,45,0.0,0.0913357142857143,4.8,0.0003589580102040816
jolteon,pokeball,NONE,44,0.0,0.0919280701754386,4.8,0.0003723100892582333
jolteon,pokeball,NONE,43,0.0,0.09251896551724138,5.0,0.00038579291617122475
jolteon,pokeball,NONE,42,0.0,0.09310677966101695,5.2,0.0003992945303073829
jolteon,pokeball,NONE,41,0.0,0.09369333333333335,5.2,0.0004129382888888889
jolteon,pokeball,NONE,40,0.0,0.09427704918032787,5.4,0.0004266122601451223
jolteon,pokeball,NONE,39,0.0,0.09485967741935485,5.6,0.00044043821279916753
jolteon,pokeball,NONE,38,0.0,0.09544126984126985,5.7,0.00045441861426051897
jolteon,pokeball,NONE,37,0.0,0.0960203125,5.9,0.00046844161865234376
jolteon,pokeball,NONE,36,0.0,0.09661384615384615,6.2,0.0004837808852071005
jolteon,pokeball,NONE,35,0.0,0.09720606060606062,6.3,0.0004992475390266298
jolteon,pokeball,NONE,34,0.0,0.09779552238805969,6.3,0.0005147287859211404
jolteon,pokeball,NONE,33,0.0,0.09838382352941176,6.3,0.0005303478265570933
jolteon,pokeball,NONE,32,0.0,0.09896956521739131,6.5,0.0005459919722747322
jolteon,pokeball,NONE,31,0.0,0.09955428571428572,6.8,0.0005617830530612245
jolteon,pokeball,NONE,30,0.0,0.10013802816901408,7.0,0.0005777234834358262
jolteon,pokeball,NONE,29,0.0,0.10071944444444444,7.0,0.0005937007330246913
jolteon,pokeball,NONE,28,0.0,0.1013,7.0,0.0006098350684931507
jolteon,pokeball,NONE,27,0.0,0.10189324324324324,7.2,0.0006272854948867787
jolteon,pokeball,NONE,26,0.0,0.102484,7.3,0.0006447472106666667
jolteon,pokeball,NONE,25,0.0,0.10307368421052632,7.4,0.0006623432548476454
jolteon,pokeball,NONE,24,0.0,0.10366103896103897,7.5,0.0006799603002192611
jolteon,pokeball,NONE,23,0.0,0.1042474358974359,7.7,0.0006977201857330702
jolteon,pokeball,NONE,22,0.0,0.10483291139240505,7.8,0.0007156252459541739
jolteon,pokeball,NONE,21,0.0,0.10541625,7.8,0.0007335623609374998
jolteon,pokeball,NONE,20,0.0,0.10599876543209878,8.0,0.000751651973784484
jolteon,pokeball,NONE,19,0.0,0.10657926829268294,8.0,0.0007697811555621653
jolteon,pokeball,NONE,18,0.0,0.1071710843373494,8.2,0.0007892268747278267
jolteon,pokeball,NONE,17,0.0,0.10776190476190475,8.3,0.0008088040249433105
jolteon,pokeball,NONE,16,0.0,0.10835058823529413,8.5,0.0008283987349480969
jolteon,pokeball,NONE,15,0.0,0.10893837209302325,8.7,0.0008481328299080582
jolteon,pokeball,NONE,14,0.0,0.10952528735632183,8.9,0.0008680085559519089
jolteon,pokeball,NONE,13,0.0,0.11011022727272726,9.0,0.0008879122817665289
jolteon,pokeball,NONE,12,0.0,0.11069438202247191,9.1,0.0009079645751799014
jolteon,pokeball,NONE,11,0.0,0.11127666666666666,9.2,0.000928052011111111
jolteon,pokeball,NONE,10,0.0,0.11185824175824176,9.3,0.0009482943002052891
jolteon,pokeball,NONE,9,0.0,0.11245000000000001,9.5,0.0009698529347826087
jolteon,pokeball,NONE,8,0.0,0.11303978494623657,9.6,0.0009914262666204186
jolteon,pokeball,NONE,7,0.0,0.11362872340425531,9.8,0.0010131360898596648
jolteon,pokeball,NONE,6,0.0,0.11421684210526316,9.9,0.0010349845584487535
jolteon,pokeball,NONE,5,0.0,0.11480312500000002,10.0,0.0010568575944010414
jolteon,pokeball,NONE,4,0.0,0.11538865979381444,10.2,0.001078875850781167
jolteon,pokeball,NONE,3,0.0,0.11597244897959184,10.3,0.0011009254654310704
jolteon,pokeball,NONE,2,0.0,0.11655555555555555,10.4,0.0011231263075196407
jolteon,pokeball,POISON,100,0.0,0.0879,0.2,0.0
jolteon,pokeball,POISON,99,0.0,0.0895,0.3,2.559999999999992e-06
jolteon,pokeball,POISON,98,0.0,0.09056666666666663,0.5,3.982222222222219e-06
jolteon,pokeball,POISON,97,0.0,0.091475,0.6,5.461875000000001e-06
jolteon,pokeball,POISON,96,0.0,0.09233999999999998,0.6,7.362399999999989e-06
jolteon,pokeball,POISON,95,0.0,0.09318333333333337,0.8,9.691388888888876e-06
jolteon,pokeball,POISON,94,0.0,0.09401428571428573,0.9,1.2449795918367343e-05
jolteon,pokeball,POISON,93,0.0,0.0948375,1.0,1.563734374999998e-05
jolteon,pokeball,POISON,92,0.0,0.09565555555555555,1.0,1.9253580246913563e-05
jolteon,pokeball,POISON,91,0.0,0.09645999999999999,1.2,2.315239999999998e-05
jolteon,pokeball,POISON,90,0.0,0.09740909090909088,1.5,3.005537190082641e-05
jolteon,pokeball,POISON,89,0.0,0.09833333333333334,1.5,3.69472222222222e-05
jolteon,pokeball,POISON,88,0.0,0.09923846153846154,1.5,4.393621301775146e-05
jolteon,pokeball,POISON,87,0.0,0.10012857142857143,1.5,5.1097755102040786e-05
jolteon,pokeball,POISON,86,0.0,0.10100000000000003,1.5,5.832266666666663e-05
jolteon,pokeball,POISON,85,0.0,0.10186250000000001,1.6,6.583609374999995e-05
jolteon,pokeball,POISON,84,0.0,0.10271764705882355,1.7,7.366380622837368e-05
jolteon,pokeball,POISON,83,0.0,0.10356666666666668,1.7,8.182555555555552e-05
jolteon,pokeball,POISON,82,0.0,0.10441052631578948,2.1,9.033673130193899e-05
jolteon,pokeball,POISON,81,0.0,0.10532499999999999,2.4,0.000101708875
jolteon,pokeball,POISON,80,0.0,0.10622857142857142,2.6,0.00011319442176870746
jolteon,pokeball,POISON,79,0.0,0.10712272727272727,2.7,0.00012483902892561984
jolteon,pokeball,POISON,78,0.0,0.10800869565217391,3.0,0.00013667992438563326
jolteon,pokeball,POISON,77,0.0,0.10888750000000001,3.0,0.0001487477604166666
jolteon,pokeball,POISON,76,0.0,0.10976,3.3,0.00016106800000000002
jolteon,pokeball,POISON,75,0.0,0.11062307692307692,3.6,0.0001734956213017752
jolteon,pokeball,POISON,74,0.0,0.11148148148148151,3.6,0.00018622817558299043
jolteon,pokeball,POISON,73,0.0,0.1123357142857143,3.7,0.0001992794387755102
jolteon,pokeball,POISON,72,0.0,0.11324137931034484,3.8,0.0002153741498216409
jolteon,pokeball,POISON,71,0.0,0.11414000000000002,4.0,0.0002316130666666667
jolteon,pokeball,POISON,70,0.0,0.11502903225806453,4.2,0.00024785302809573356
jolteon,pokeball,POISON,69,0.0,0.1159125,4.3,0.00026430359375
jolteon,pokeball,POISON,68,0.0,0.1167909090909091,4.4,0.00028098567493112947
jolteon,pokeball,POISON,67,0.0,0.11766470588235294,4.5,0.0002979175778546713
jolteon,pokeball,POISON,66,0.0,0.11853428571428572,4.7,0.0003151153959183673
jolteon,pokeball,POISON,65,0.0,0.1194,4.9,0.0003325933333333333
jolteon,pokeball,POISON,64,0.0,0.12025945945945944,5.0,0.0003501964645726808
jolteon,pokeball,POISON,63,0.0,0.1211578947368421,5.1,0.000370846648199446
jolteon,pokeball,POISON,62,0.0,0.12205128205128206,5.4,0.0003916671137409599
jolteon,pokeball,POISON,61,0.0,0.12294,5.5,0.0004126784
jolteon,pokeball,POISON,60,0.0,0.12382439024390245,5.8,0.0004338989173111243
jolteon,pokeball,POISON,59,0.0,0.12470238095238094,6.0,0.0004551735657596371
jolteon,pokeball,POISON,58,0.0,0.12557674418604647,6.4,0.00047669759870200105
jolteon,pokeball,POISON,57,0.0,0.12644772727272727,6.7,0.0004984838584710744
jolteon,pokeball,POISON,56,0.0,0.12731555555555557,6.8,0.0005205439802469136
jolteon,pokeball,POISON,55,0.0,0.1281804347826087,7.1,0.0005428885302457468
jolteon,pokeball,POISON,54,0.0,0.12907659574468086,7.3,0.0005682805160706202
jolteon,pokeball,POISON,53,0.0,0.12996666666666667,7.4,0.0005936759722222222
jolteon,pokeball,POISON,52,0.0,0.13085306122448978,7.8,0.0006192735110370679
jolteon,pokeball,POISON,51,0.0,0.13173600000000002,7.9,0.0006450875040000001
jolteon,pokeball,POISON,50,0.0,0.13261568627450984,8.1,0.0006711311264898115
jolteon,pokeball,POISON,49,0.0,0.1334923076923077,8.2,0.0006974164792899407
jolteon,pokeball,POISON,48,0.0,0.13436603773584904,8.4,0.0007239546956212175
jolteon,pokeball,POISON,47,0.0,0.13523518518518518,8.5,0.0007505852434842249
jolteon,pokeball,POISON,46,0.0,0.13610181818181818,8.6,0.000777495087603306
jolteon,pokeball,POISON,45,0.0,0.13699464285714286,8.8,0.0008074537213010204
jolteon,pokeball,POISON,44,0.0,0.1378842105263158,9.0,0.0008376023822714682
jolteon,pokeball,POISON,43,0.0,0.1387706896551724,9.4,0.0008679541409036862
jolteon,pokeball,POISON,42,0.0,0.13965254237288133,9.8,0.0008983475782821029
