Carácter	Error
`	0.000291
a	14.555838
b	0.010527
c	0.000794
d	12.888968
e	0.000471
f	14.000161
g	13.000331
h	0.018716
i	0.000356
j	1.000106
k	0.016302
l	0.000060
m	0.009603
n	0.001466
o	0.001550
p	0.015167
q	14.333334
r	0.002393
s	0.000011
t	13.777813
u	0.003147
v	0.000071
w	0.019705
x	0.000058
y	12.555761
z	0.000097
{	14.444196
|	0.000478
}	1.000050
~	0.000225
DEL	19.778020
